Name	SRR847690	SRR847691	SRR847692	SRR847693	SRR847694	SRR847695	SRR847696	SRR847697	SRR847698	SRR847699	SRR847700	SRR847701
Tcf3	3.2713	4.194	3.7116	4.468	3.8744	4.0753	4.6982	4.8225	3.7171	3.5797	4.4353	4.2071
Rcc2	7.077	7.0076	7.3729	6.8973	6.8079	6.6629	6.6872	6.5931	6.1165	6.634	6.7945	6.3302
Nfatc2ip	9.0881	8.6475	8.5937	9.087	9.1618	9.3279	7.6636	7.9232	8.6822	8.2632	7.3671	8.9175
Ift140	4.5258	4.4406	4.3432	4.6029	4.971	5.2475	4.5504	3.4974	4.1857	4.1369	4.047	3.0656
Kif5c	4.9482	4.7368	4.6729	4.6266	4.6318	4.984	4.3292	4.5104	3.4594	4.9776	5.5383	5.2433
Ifnar1	4.431	4.1911	4.2286	3.7482	3.9892	3.4254	3.6737	3.3854	3.7331	4.1948	4.9561	5.087
Naa35	5.288	4.7546	4.6881	4.5264	4.5412	4.8285	4.0615	4.348	4.9124	4.9673	3.1296	4.5758
Baz2a	5.1948	5.8044	5.268	5.1816	4.8833	4.1443	5.2491	5.5538	5.6382	5.055	4.0326	5.8631
Smarcad1	9.295	9.1853	9.0885	8.9725	9.2076	9.0926	8.3507	8.6236	8.554	8.4927	8.5963	8.4221
Poglut1	6.7632	6.9618	7.2878	6.8763	6.7988	6.7784	6.2954	6.2329	6.4276	6.4085	6.5134	6.6258
Napb	2.4402	1.6406	1.7261	2.0778	2.5752	0	2.1316	1.7735	0.2894	2.7829	2.4661	2.6147
Mtch2	4.6989	4.9849	4.4544	3.2578	4.1445	4.6792	4.5504	5.1404	3.557	4.3954	4.9673	4.3203
Ooep	6.3741	6.3369	6.3864	6.5922	6.7573	6.4882	6.4163	6.5237	6.5421	5.6308	5.8435	5.5664
Taf4a	2.3721	4.1257	3.8416	3.3332	3.5048	4.0958	4.076	3.6479	4.6721	3.3934	3.9608	3.7305
Eif3b	7.3491	7.2613	7.4963	7.0454	6.9173	6.9934	6.7221	6.8015	6.5269	7.0677	7.2364	7.1963
C77080	2.5634	2.6867	4.1303	3.9042	2.861	2.5109	3.7413	0.9197	3.2894	3.4735	3.9557	4.0064
Znhit3	3.2347	4.2915	3.7261	4.516	4.2421	4.1557	4.1843	3.4703	3.074	4.6642	4.4776	4.1657
Galnt7	4.5914	3.9617	4.8934	4.8637	4.4872	5.2865	5.4002	4.7121	5.0358	5.4407	5.4958	4.5647
Uimc1	4.0351	4.3852	4.2286	5.0257	4.3528	4.7588	4.7268	5.2285	4.7482	4.6735	4.5856	3.9612
Rad51c	3.6883	3.3387	3.3111	4.0702	4.0898	4.2113	4.491	4.2903	3.6114	3.586	4.0879	4.0106
Rab13	1.3721	1.4643	0.1412	1.1633	0.1829	0.5109	0	2.1885	2.6114	0	0	0.9231
Snord23	6.4045	6.1693	6.7554	6.718	6.3668	6.2698	6.9275	6.762	6.7581	6.2273	5.6766	5.3724
Rbm12b	3.7872	4.6867	4.4522	3.9655	3.2273	3.6808	3.7595	4.4364	3.0968	4.7559	4.5414	3.7469
Apaf1	6.7	6.6798	6.4299	7.1377	7.064	6.8218	7.0273	7.2278	7.6069	7.1728	6.9314	7.3545
Rps4y2	6.8852	6.8789	7.1856	7.094	6.5579	6.8507	6.7651	6.1427	5.9899	6.7758	7.2399	6.8657
Tmem65	3.6805	3.9668	3.6006	3.5869	4.2704	3.3182	4.4542	4.4433	3.7436	4.6304	4.4983	4.1711
LOC100503645	5.1408	4.846	5.1412	5.8326	5.8357	5.5109	5.5072	5.8226	5.3542	4.8339	4.1639	5.2786
Gpatch3	4.0651	4.6856	3.6006	4.2507	2.9903	3.0593	3.5452	3.5104	3.78	3.9638	4.2749	3.7253
Tmf1	9.9179	10.6282	11.0809	11.3004	10.9299	10.7739	11.3824	11.4896	10.806	10.8922	11.2093	9.3788
B930041F14Rik	3.5945	3.0492	3.1412	2.4852	3.6423	2.0958	3.6296	3.7735	3.4594	2.586	2.2253	2.9231
LOC100416706	4.858	5.2249	5.1412	5.389	5.1829	5.4574	5.9309	5.8324	5.5113	5.5168	5.1495	5.1314
Brpf3	1.3721	2.4643	2.112	2.4852	1.7679	0.5109	2.6949	2.6919	2.6114	1.5642	2.2277	3.9186
Hectd2	2.9571	1.8793	3.0954	2.1633	2.9841	2.8328	3.3048	3.2206	3.4561	0.3934	3.0841	3.0275
Pdia5	0.7283	1.4643	1.0823	0.1633	0.1829	1.5109	0.9276	1.7783	1.2455	0	1.2253	0
1600021P15Rik	4.1091	3.7862	3.3111	4.4852	4.0898	4.6808	4.0255	3.5104	3.6114	3.9065	4.0997	4.0899
Abca3	0	0.9079	1.1412	0	0	0	2.5306	1.1885	0	1.1565	0	2.832
Fam69a	6.0438	5.3469	5.6587	5.7002	5.5756	5.7175	4.8624	5.4585	6.1866	4.72	4.8338	5.4467
Akap9	6.2634	6.0246	5.4375	6.2787	5.9545	6.4226	6.3263	6.5529	6.895	6.2774	6.3873	6.5551
Syde2	4.1767	4.5133	3.6006	4.1633	4.4255	3.5109	4.9381	4.938	4.3769	5.0454	5.253	4.0408
Dram1	0	0	0	0	0	0.5109	0	0.174	1.8744	0	0.5889	0
Eri3	1.3721	3.4631	3.295	2.7482	2.7534	2.5109	2.8066	3.8856	3.4864	2.9079	3.3408	3.2189
Ckb	5.6829	5.8058	6.0452	6.3478	6.3863	6.0161	5.8486	5.6437	5.4138	4.5783	5.6347	5.2726
Dffb	3.482	1.8793	2.9485	2.7434	2.9903	3.3182	4.1275	3.3584	2.872	3.171	3.4435	3.2451
Tctn1	0.9321	1.1159	0	0	0	0	0.5649	0.1885	0.8895	0.2183	0.3715	0.6573
Chmp2a	5.0206	4.7732	4.8576	5.0736	5.4208	4.9284	5.8042	5.4938	5.4013	5.0695	5.3048	4.3127
Ntm	0	0	0	0.1633	1.1829	0	0.3817	0	1.2894	0	1.3002	0.7469
Trim7	3.4206	3.7707	3.9288	4.6435	4.3861	4.1373	4.556	3.8834	3.5282	3.9775	3.7909	4.0055
Akap5	0.7872	2.8793	1.7261	2.1633	1.1829	0	0	1.1885	3.0968	0.586	1.9622	3.7305
Rassf2	1.3721	0.8793	1.1412	1.1633	0.1829	0	1.7036	1.1885	0.2894	0	0.6403	1.5081
Sypl	4.8575	5.1031	4.5245	5.2478	5.4251	5.6402	5.1836	5.145	6.2028	4.9656	4.9876	5.6721
Zdhhc15	5.2134	4.9176	5.2705	5.2507	4.7679	5.0357	4.6296	4.1885	4.5374	4.7943	4.5945	4.4467
Kif4	4.882	5.2512	4.7676	4.8553	5.2919	4.5692	5.9961	5.5516	5.3987	5.0429	5.1353	4.4239
Ypel4	0	0	0	0	0.6265	0.2246	0	0.7345	1.3109	0.0402	0	0.9517
Adamts3	1.3721	0	0	0	0.1829	1.5109	0.3817	0	0.2894	1.171	0	2.2451
X99384	5.3098	5.7066	5.4966	5.7909	5.9346	5.6327	5.7304	5.7093	5.3264	4.8913	5.102	4.4758
LOC100034739	0	0.3604	1.6834	0.1633	0	0	0	2.1885	1.3211	0	0	0
Chrac1	3.694	0.8793	3.4515	2.4852	3.4962	0	2.5516	2.7735	2.8502	3.1613	2.9622	2.9231
Efcab6	0	0.6278	0	2.1633	0	0	0.3817	0	2.2894	0	0	0
Pnma2	4.3107	4.9237	4.4631	4.9701	5.3528	5.4178	5.0541	5.1427	4.9551	4.1096	4.2253	4.5081
Ppm1f	5.4545	6.0602	6.2616	5.3324	5.9152	5.7963	5.5528	4.9434	5.2376	6.2599	5.8529	6.1106
Isg20l2	6.9489	6.9219	7.1062	6.9295	6.78	6.7717	6.2343	6.6829	6.0174	6.6165	7.1427	6.6467
Sorcs2	0.7872	0	0.1412	2.9706	0	0	1.3817	0	0.2894	0.586	0	0
Gm4057	1.7872	2.8793	2.1412	2.4852	2.9882	0.452	2.8411	1.7394	3.6114	2.586	3.3408	2.9231
Slc25a11	5.8795	5.5495	5.6915	5.7127	5.6843	5.9817	4.9049	5.4489	4.7246	5.3466	4.7749	5.0279
Oat	5.6965	5.4768	5.7714	6.0346	5.8536	5.7411	6.3834	6.4796	5.9768	6.1909	6.6278	6.1676
Scamp3	0.3132	2.9514	1.7261	1.1633	0	1.7859	2.4452	2.2416	0	2.7559	1.6403	1.4985
1700052K11Rik	2.5945	2.8793	3.1412	3.3332	2.7582	3.3182	2.189	2.5104	1.8744	2.3934	3.6403	2.5081
Yipf5	6.7753	7.6049	7.4483	6.9286	7.0978	6.8141	6.7831	6.855	6.1494	6.9239	7.3859	6.779
Cdk2ap1	5.7177	5.6086	5.7559	4.778	4.1678	6.0958	5.4691	5.2329	5.7489	5.6256	6.1639	4.0796
Gstcd	4.3853	4.8946	4.5634	4.6468	4.732	4.8358	3.6747	5.0097	4.1603	5.2931	5.2393	5.3514
Hspa1l	0	0	1.7261	2.1633	0.1829	0	0.9666	0.1885	2.6114	1.9079	0.6403	0
Gemin7	4.1091	3.0588	4.3891	4.4112	4.5048	4.6808	4.5085	3.7735	4.0968	4.5402	4.5448	4.5081
Rell1	4.431	4.5232	5.0481	4.5556	4.5048	3.0958	4.9359	4.5808	3.9899	4.586	4.2836	3.0931
Snapc4	4.3424	3.762	4.3094	4.2147	3.7052	4.3563	3.1461	4.1323	3.096	2.4735	4.0997	4.1854
Tbc1d1	4.6134	5.1636	4.9444	4.5473	4.8169	3.3182	5.004	4.5468	4.0844	4.6252	4.6808	4.7305
Gm8518	3.8746	3.2012	2.9485	2.9706	3.5048	1.5109	2.7036	3.5104	2.2894	4.171	3.0666	3.2451
Rpl11	4.5696	6.3027	6.1526	6.2507	6.3514	4.414	5.7219	6.6055	6.7352	5.7959	5.1253	6.1102
Glmn	3.4564	1.7518	2.9925	1.1415	2.239	2.7829	2.5956	2.4057	2.3661	2.9801	2.6463	3.129
Gm7512	0.6027	2.1453	1.7165	0.1633	1.7534	0.5109	3.062	2.1885	0	1.1662	1.6403	0.7791
Hexim1	7.394	7.0592	6.7875	6.8071	6.7679	6.8507	6.4151	6.2329	6.5562	6.7459	6.6627	6.263
Sphk2	3.2593	4.0705	3.0644	3.3015	3.593	4.0958	2.7536	2.7374	2.8671	3.5988	4.1349	3.5081
Lrrc8a	3.7872	3.3387	3.4631	3.6227	3.9903	4.3182	3.9052	1.7735	2.8744	3.6735	4.0965	3.9231
Tmem132a	0.7872	1.4643	2.4631	1.1633	2.4991	0.5109	2.6892	1.7735	2.2713	1.171	3.3341	2.2451
Acadm	3.8746	4.5708	4.8427	5.4112	5.1928	4.7196	4.8951	4.3712	4.9322	4.2959	4.8985	4.1177
Top3a	3.7562	4.0452	4.9852	4.4051	4.3528	4.5744	3.8869	2.9855	3.8792	4.7532	3.7835	3.8028
Tmem14a	1.3721	0	0.1412	2.4765	0	0.5109	1.2054	1.1885	0	1.9079	1.6403	0
Kdm1b	3.482	3.2012	3.7056	4.1561	3.7594	4.5082	4.4636	4.1685	3.7489	4.2865	4.2408	2.7989
Ccdc78	0.4742	1.5606	0	0	0	0	0.0046	0.1885	0.2894	1.0714	0	0
2310046O06Rik	4.3721	4.3387	3.8582	4.7093	4.6285	5.2658	3.9666	4.5104	4.6666	4.5402	4.2842	5.0524
Foxo1	2.5945	4.2716	2.9485	3.3332	3.5048	3.8328	3.8012	4.4364	3.6114	3.586	3.4477	3.7305
Armcx1	5.431	4.8335	5.1407	4.0702	4.8833	4.4178	5.6093	5.2636	5.6089	5.2007	5.7482	5.2807
Gins3	4.7799	5.1272	4.8929	5.0376	5.0869	4.9032	4.7036	4.7735	3.2894	4.586	4.3408	4.0106
Tjap1	3.2466	3.3335	2.7261	2.1633	3.1829	3.8227	4.189	4.276	2.8744	2.7559	2.9272	4.1971
Slco4a1	2.3721	2.4643	0.5741	1.1633	1.6837	2.7858	0.9666	2.9749	3.2894	0	1.0133	2.3641
Col4a3bp	5.4655	5.4032	5.5465	4.9283	4.9794	4.4744	5.1475	4.8266	4.9641	4.9875	5.1273	5.16
Gnai2	4.7872	5.2326	4.0481	4.4553	4.1408	4.7512	4.2794	3.8812	3.8744	4.6701	4.3307	4.4411
Gm15459	13.5235	12.9543	12.932	13.0671	13.031	13.3832	11.8573	12.387	13.1328	12.7103	12.2128	13.2552
Zfp385c	0.0306	0	0	0	0	0	0	2.0633	0	0	0	0
Crtc1	0	0.2127	0	0	0	0	0.9666	1.1667	0	0	0	2.2451
Mccc2	3.5945	4.454	4.3079	4.3332	4.7618	3.6808	4.6004	4.0415	3.0655	3.9652	4.1141	2.2451
Appl2	4.6771	4.7819	4.583	4.4158	3.2395	4.3547	4.419	4.5517	4.4737	4.1027	4.2096	4.1996
Fgf1	1.7872	0.8648	1.7261	0.1633	2.1829	0	2.3817	0.1885	0.2894	0	1.2253	2.2451
Naa11	3.8746	3.9651	3.9485	4.2507	3.9903	5.1547	4.5175	4.3584	4.9094	3.171	3.3408	3.2451
Nedd8	2.0532	2.1984	2.1412	1.0663	2.2839	1.0115	2.55	2.2895	2.6114	2.171	2.2253	1.9231
Bcr	3.0946	3.0396	0.881	2.9644	2.9631	2.4964	3.0821	3.376	2.5879	2.5842	1.9622	4.025
Rbx1	5.3739	5.0484	5.4551	3.9706	4.9135	4.9657	4.7197	4.6681	4.8654	4.0296	4.5472	5.2701
Rin1	0	1.44	0	1.1633	1.1829	0.5109	0.3817	1.0604	0	0	1.9622	1.5081
Ccdc134	3.2387	2.9558	1.6471	3.1212	0.1829	2.5073	2.715	2.1849	3.0844	3.586	2.1614	2.8009
Las1l	6.6304	5.9776	6.1162	5.8201	6.2877	5.9482	5.0843	5.7771	5.8326	5.6964	5.5237	6.107
Bbc3	1.7872	1.8793	2.1412	1.1633	1.7679	2.0958	3.3817	3.1885	1.2676	2.9079	2.4477	0.8107
Hscb	0.7872	1.4643	0.1412	1.7289	1.1829	1.5109	1.6803	1.0838	1.1904	0	0.6403	0
Nfib	6.5355	6.8828	6.5171	6.2363	6.2889	6.65	5.8394	6.1887	6.1571	5.9617	5.6843	6.26
S100pbp	5.6384	6.1246	5.9478	5.3332	5.379	5.2002	5.6761	5.0465	5.4594	5.5082	5.4961	4.678
Mageb16	0.2022	2.2355	0.1412	0	0.7679	1.5109	2.3924	1.5104	0.7045	0.0011	2.5044	0
Amotl1	5.0351	4.9175	5.3103	5.1953	5.2273	5.4149	4.4542	4.3584	4.422	5.0025	5.523	5.0698
Nbas	3.8746	3.9342	4.4049	3.4895	3.982	4.1189	3.7815	3.002	3.402	3.566	3.0651	3.8434
Malat1	11.501	11.776	11.367	11.2304	11.3553	11.2582	12.0957	12.3162	12.2599	11.689	11.4581	11.9344
Gm4879	8.1665	7.8623	7.7778	8.0388	7.7298	7.9032	7.2082	7.3684	7.7241	7.3342	6.9441	7.5006
Dnajb9	1.5395	1.9903	2.1412	2.1633	1.9484	3.0958	2.6356	2.1885	2.8744	1.5821	2.4477	3.3826
Rabggta	4.0058	4.0564	4.5934	3.6162	4.4616	4.7992	3.744	3.0122	3.872	4.2084	4.4988	4.0174
Mapk14	4.7113	4.5831	5.1139	4.8037	4.6397	4.5091	4.73	4.3616	3.2894	4.9572	5.3113	5.1465
Cacng7	0	1.4643	1.7261	1.1633	0	0	1.3817	1.2171	0	0	0.4394	1.9231
Gm11993	6.4893	5.8879	6.2201	6.161	5.6335	5.7474	5.9109	5.6558	5.0037	5.78	5.7129	5.1635
Pgap1	1.8746	2.4351	3.0345	2.1561	2.4991	2.4857	2.7532	3.5291	2.2894	2.5752	3.8054	2.9901
Gm9835	3.5074	2.8034	3.2998	4.1579	3.8093	3.6695	3.897	3.8878	3.4594	2.3934	2.6403	3.0786
9930014A18Rik	0.2998	0	1.7261	0	0	0	0	0.1885	0	0	0	0
Gm889	2.1091	3.0492	2.1412	2.4852	2.1829	1.2421	2.7602	2.1885	3.2895	2.7559	3.324	3.2451
Esyt2	5.3899	5.107	5.554	5.9773	5.132	5.6315	5.8984	5.9837	6.1942	5.6241	5.0388	5.6467
Phyhip	0	0	2.0248	1.1633	0	0.5109	0	0.067	0	0	0	0
4930503E24Rik	3.4876	3.3387	3.8416	4.0702	2.5048	3.6808	4.3817	4.4364	3.8744	3.586	4.5945	3.7305
Ppp1r16a	3.8394	3.4388	3.1995	3.2024	3.5083	3.1455	3.0777	1.889	3.4864	2.5196	3.408	3.5507
Gngt2	0	2.175	0.1412	1.8094	0	2.5	2.3414	1.7541	0.2451	1.557	1.6112	0.9303
Mccc1	3.5269	3.7589	3.2784	3.9383	3.4874	2.091	3.9332	3.4868	3.6114	2.9492	1.9213	3.6695
Snrpa	5.2672	4.7595	4.3095	4.7512	5.1565	4.9046	3.8371	4.9278	3.7541	4.2299	4.1992	3.8838
Pif1	3.6776	4.1072	3.0687	4.3665	4.4384	4.0715	4.4124	3.352	3.9379	4.2406	3.947	3.8764
Asna1	4.3565	4.3853	4.4471	5.1439	4.8627	5.2052	4.6921	4.9317	4.3402	5.1035	4.6209	4.4835
Sox13	0	0	1.1267	0.1633	0	0	1.7151	1.1885	0.2455	0.5569	0	1.9086
Man1c1	0	0	0.1412	2.1633	0	0	0.3817	0	0.2894	0.586	1.2253	0
Gm12844	6.5506	6.0868	5.9591	5.547	5.9561	5.9061	5.1769	5.7795	5.6182	6.127	5.7012	5.5651
Iqsec1	3.694	3.6342	3.7261	3.1687	3.3528	2.5109	4.3817	4.1885	3.0968	3.4929	2.8102	3.5009
Nrg4	3.1042	0.8974	2.4793	2.761	0.1829	1.5152	0.9476	2.0929	1.8859	1.9104	1.9547	2.9301
6330439K17Rik	0	0.8793	1.1412	0	0	1.4891	0	0	0	1.7495	0	0.9231
Kcnk6	0	0.8793	1.1412	0	0.1829	0	0	0	0	0	0	2.9231
Pramel7	0	0.8793	1.1412	0	0	0	0	0	0	0.586	0.6403	0
Tnfaip8l1	0	0.8793	1.1412	0	0.1829	0.452	0	0	0	0	0	0
2010107H07Rik	0	0.8793	1.1412	0	0	0	0	0.1885	0	0	0	0
Cd200	0	1.8793	0.1412	0	0	0	0	0.1885	0	0.586	0	1.5081
Itga7	0	0.8793	1.1412	0	0.1829	0	0	0	0.2894	0	0	0
Trim43b	0	1.8793	0.1412	0	0	0	0.3817	0	0	0	0	0
Sgsh	0	0.8793	1.1412	0	0	0	0	0.1885	0.2894	0	1.2253	0
Irf5	0	0.8793	1.1412	0	0	0	0.8398	0	0	0	1.46	0
Gm6787	0	1.8793	0.1412	1.5747	0	0.5109	0	1.1885	0	0	0	0
Pcsk1n	0	0.8793	1.1412	0	0	2.188	0	0	1.2894	0	0	0
Mip	0	0.8793	1.1412	0.1633	0	0	0	2.1885	0.2894	0	0	0
Anp32b	5.7248	6.4467	5.7721	5.324	5.2893	5.31	5.4241	5.5781	5.5837	5.5654	5.7442	6.4541
Ly6e	2.1091	3.0492	3.1412	2.1633	2.6051	1.5109	2.3452	3.174	3.2786	3.2731	1.6403	2.9231
Dock11	4.3019	4.1809	4.0031	3.147	3.5048	3.8139	3.7187	3.9782	4.5682	3.9478	3.52	4.4436
Tirap	2.3721	2.6867	2.4631	2.1633	2.9903	2.0958	2.7378	2.9897	2.3701	3.3934	3.2253	2.9231
Zfp583	0.7872	3.6867	3.1412	3.1633	3.5048	2.0958	3.0821	4.2632	2.2894	2.9079	2.9622	2.7387
Eif1ax	3.9361	5.2259	4.921	5.0012	4.9173	4.3006	5.2736	5.7205	3.855	5.3721	5.5628	5.1676
Atp6v1h	5.2033	5.2439	4.9882	5.4777	5.2291	5.5474	5.8329	5.6404	5.9815	5.0588	4.9003	5.9044
Hdac4	4.0009	4.6711	3.4903	3.11	3.3783	3.6549	3.7448	3.6255	3.8599	4.2831	3.7064	5.3477
Sgip1	0	0	0	0	0	0	0	0.1885	1.8305	0	0	0.9231
Prr11	3.2413	4.2968	3.0898	3.6161	3.8268	4.312	4.6011	4.105	3.8672	4.2993	3.9131	4.4343
Gm14584	2.9571	2.4643	2.9485	2.1633	2.7679	1.5109	2.5516	1.1885	2.6114	2.9079	3.8882	3.0851
9330151L19Rik	0.7872	0	1.1412	1.1633	1.3428	0.5109	1.0703	1.8941	0.3889	1.2207	1.7611	0.965
Msc	4.6854	3.5798	4.3838	4.6227	3.9726	4.5109	3.2461	3.5104	3.8744	3.9079	4.1544	4.4467
Sord	3.7728	3.5427	4.2943	2.9706	2.9611	3.66	4.6317	4.0954	4.4842	3.6355	4.2364	3.5626
Ppip5k1	2.7872	2.457	2.9465	2.6776	2.9841	0.5109	1.7036	1.7735	2.7475	2.5059	2.1719	2.9472
Styx	5.9903	5.8136	5.5708	4.3597	5.3955	5.6017	5.185	4.7277	5.911	5.4972	4.6921	6.1489
S1pr2	4.431	5.2369	5.0481	5.4487	5.3924	4.9703	4.5911	4.3584	3.7489	5.0779	5.0997	4.567
2610306M01Rik	3.9571	2.2012	2.9485	3.9706	3.1829	3.9703	2.673	2.387	2.8744	3.0454	2.6403	3.4629
Arntl	5.1405	4.9672	4.2286	4.8604	4.8727	4.6945	3.5446	4.398	4.3769	4.5365	4.2378	4.2327
Klhl12	5.24	5.5272	5.3318	4.741	5.2618	5.3689	4.9236	4.6466	4.5121	4.7947	4.5515	4.7761
Pcdhga3	2.4426	1.9842	1.2108	0	2.0043	1.6166	2.4594	3.0494	0.4431	2.0441	0	2.9085
Narfl	4.2942	4.5809	4.598	4.8637	4.6316	4.7588	4.0142	4.8312	2.6114	4.8803	4.8039	4.917
Adam23	8.4009	8.3125	7.7506	7.2498	7.4679	7.7429	7.1701	7.5643	7.7137	7.5989	6.9977	8.3213
Hist1h3d	6.2065	7.083	7.103	6.9626	6.5001	6.6106	7.7547	7.4906	7.1626	7.0603	7.3847	6.2731
Lama3	0	0.8502	1.6921	1.1633	0	1.6484	1.7007	0	0	0.5271	0	0
Hnrnpa1	7.1364	7.1868	7.0947	6.5101	6.4272	6.4657	6.2766	6.8681	6.9663	6.7126	6.4284	6.917
Tmem57	4.6216	4.4534	4.3891	4.5446	4.7065	4.7219	4.8039	4.7026	4.6229	5.0769	5.3979	5.0038
Trim30d	3.8746	3.3189	3.7711	3.7897	3.7534	4.0958	3.1008	2.9751	2.8744	3.9624	2.46	3.83
Slco3a1	0	0	0.1412	0	0	0	0.3817	1.7735	0	0	1.6403	0
Ptgfrn	6.8414	6.5784	6.481	6.8887	7.0125	7.0007	6.1971	6.5088	6.4386	6.0121	5.5094	6.3654
Rnf7	5.2969	5.6072	6.1856	5.6868	5.7065	6.3331	5.3124	4.7735	4.9899	5.4687	5.3952	5.0102
Snora64	10.4107	10.9161	11.4125	11.4907	11.1381	10.8996	12.1552	11.5952	11.0012	11.1696	11.4524	10.3174
Ppp1r12c	4.0975	4.1378	4.8951	4.3751	3.8565	2.8866	4.6254	4.0944	5.087	4.8547	5.2801	4.4265
N6amt1	1.3282	2.2012	3.1412	1.7434	2.9903	3.5109	1.9666	2.1885	2.2894	1.9079	3.5298	3.2451
Dcp1a	4.8716	4.7353	4.4192	4.6377	4.2238	4.3182	4.684	4.0405	3.2894	4.1978	4.6142	4.275
Fbxo46	4.431	3.7862	4.3111	4.4112	4.4308	4.0958	3.6296	4.276	2.6114	3.6735	3.7278	3.5081
Mrps11	4.7713	4.5022	3.551	4.8786	3.9569	4.2933	4.0404	3.4945	3.2786	3.9477	3.9137	3.6158
1700092M07Rik	0.7872	0	0	1.1044	1.1829	0.5109	0	0	0	0	0	0
Ddx47	5.5263	4.8779	4.7676	5.1308	4.6106	5.2085	4.6457	4.8945	4.8738	4.2257	4.643	4.2935
Fbxo3	4.9406	4.9998	4.3891	5.1095	5.2498	4.8998	5.6235	5.1343	5.5811	5.2118	5.1075	5.2326
1810048J11Rik	2.7835	3.7223	3.0209	2.9267	3.8767	3.5201	3.7265	3.9866	3.823	3.4929	3.5663	3.2451
Acd	0.2201	0.8793	0.1412	0	0.5614	0	0.3152	0	0	1.9223	1.3274	0
Rock2	6.6136	6.6248	6.4908	6.746	6.4887	6.4266	6.9319	7.4001	7.0548	7.185	7.0323	7.5207
D330012F22Rik	2.5945	2.6867	2.1412	2.7482	2.7679	3.0958	2.3507	1.7735	1.2894	1.586	2.6403	2.2451
Adamts1	0	0	0.1412	0.1633	0	0	0.3817	0	0	0.586	0.6403	0.9231
Tsfm	4.112	3.6867	4.1357	4.1633	3.7618	4.0922	4.1859	3.9886	4.5374	3.6624	3.3408	2.9231
9330101J02Rik	6.0909	5.1218	5.6666	6.0447	6.058	5.9953	5.9936	6.3381	6.5549	5.81	5.853	5.5858
Rac1	4.4228	4.054	4.3891	3.4794	3.7679	4.6808	4.3817	4.5808	4.5998	4.8313	5.3941	4.6478
Vasn	0	0	1.1412	0.1633	0	0	0	0.1885	0.2894	0	0.6403	2.5081
4921533I20Rik	0	0	0.1412	0	0	0	0	0	0	0	1.2253	0.9231
Atg10	0	0	0.1412	0	1.7679	0	0	2.1483	0	0	0	0
Snrpe	3.4007	3.7786	4.4746	3.9665	3.6358	4.7497	4.6671	4.8358	3.62	4.2556	4.8626	4.5426
Tmub2	3.1091	3.6867	3.8887	2.4852	3.5376	3.3553	3.8664	2.937	1.8744	3.7559	4.1639	2.2952
Lrrc49	4.3006	4.311	3.5729	3.478	3.6369	4.3059	3.4449	3.5104	3.7344	3.5167	4.2101	2.4514
Mtfmt	2.7872	1.7031	1.1339	2.4852	0	2.8328	2.1408	2.1885	1.2894	2.1516	3.2193	2.2594
Furin	0	0.8793	0	1.1633	0	0.5109	0.5895	1.1885	0	0	0.6403	2.2451
6330549D23Rik	3.8746	3.4643	2.9485	2.9706	2.7679	3.5109	2.189	2.9959	3.0968	3.3934	3.3408	3.6236
Tmem180	0.7872	1.2185	0	0.1633	0.1829	1.5109	0.3817	0.1885	0	0	0	0
Ppm1d	4.7872	4.0468	4.3087	4.7961	4.7033	3.8328	4.7684	5.5054	4.8744	4.9738	5.0233	5.0033
Gm13251	4.6902	5.2802	5.1412	5.2909	3.3012	5.0344	5.3819	4.7121	4.7489	5.3835	5.2247	2.4979
Hpse	0	0	1.1412	0	0.1829	0	1.9666	0.1594	1.0206	0	0	0
Srrm2	6.8141	7.5681	6.6327	6.3049	6.6092	6.0958	6.9189	7.0714	6.7652	7.091	6.8267	7.8983
Gm9708	3.5945	3.9668	4.3111	3.7482	3.8833	3.6808	3.7014	4.1885	3.2895	4.8339	4.7278	4.3155
2310047B19Rik	3.4876	3.207	3.3111	2.7482	2.5048	3.0958	3.8411	2.9959	1.2894	3.0454	3.4477	1.5081
Impa2	4.1629	4.8901	4.903	4.0173	4.1473	4.2495	3.6634	3.9348	4.4594	3.7559	3.6276	4.5688
0610009O20Rik	3.3368	3.0299	2.3708	1.7578	2.9903	3.3303	3.7229	3.8161	3.2021	3.448	3.6553	3.1782
Hist1h3c	8.0341	8.1526	8.4195	8.1832	8.1622	7.9584	9.2786	8.9028	8.4281	8.2517	8.5504	8.0377
Rpgrip1l	4.1005	3.8347	3.7261	3.4926	3.6051	4.411	4.1199	4.4478	5.0968	3.9783	3.7852	4.2429
Polr2j	2.5945	2.8793	2.4631	2.9706	3.8746	2.0958	2.1849	2.2726	3.0968	3.023	3.873	3.044
Mtap7d3	0	0	0	0	0.1829	0	0.8146	1.1885	0	0	0	0
Elk3	4.6431	5.0086	5.1684	5.7482	5.6092	5.4651	4.5516	5.4739	4.813	5.2584	5.0558	5.0931
Srsf10	9.4005	8.8814	8.7919	8.7015	8.8745	8.9047	7.9322	8.1163	9.0231	8.5997	8.3327	8.9772
Gm13414	7.2649	7.0207	7.2814	7.378	7.1085	7.184	6.9079	7.4286	7.6259	7.0399	7.2034	5.3217
Gm13152	6.402	6.8828	6.5081	6.9557	7.2432	6.7743	5.9829	6.2156	5.8295	6.2219	5.9606	5.6089
